AUDIT_THEOREM KakeyaFormal.ActualSpatialMarked.common_base_box AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ActualSpatialMarked.overlapConstant_pos AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ActualSpatialMarked.full_overlap AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ActualSpatialMarked.full_union_volume AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ActualSpatialMarked.family_geometry AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ActualSpatialMarked.occupied_labels AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ActualSpatialMarked.common_box AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.ActualSpatialMarked.overlapConstant AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ActualSpatialMarked.marked_mass AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.ActualSpatialMarked.label AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ActualSpatialMarked.overlapConstant._proof_1 AXIOMS [propext]
