AUDIT_THEOREM KakeyaFormal.AnisotropicJointShading.total_marks_lower AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.AnisotropicJointShading.total_marks_budget AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.AnisotropicJointShading.full_union_volume AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.AnisotropicJointShading.full_finite AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.AnisotropicJointShading.marks_finite AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.AnisotropicJointShading.full AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.AnisotropicJointShading.marks AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.AnisotropicJointShading.marks_measurable AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.AnisotropicJointShading.family AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.AnisotropicJointShading.full_mass_upper AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.AnisotropicJointShading.marks_mass_lower AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.AnisotropicJointShading.nested AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.AnisotropicJointShading.full_union_subset AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.AnisotropicJointShading.full_measurable AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.AnisotropicJointShading.marks_subset AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.AnisotropicJointShading.full_subset AXIOMS [propext, Classical.choice, Quot.sound]
