AUDIT_THEOREM KakeyaFormal.BallPruning.coverConstant._proof_1 AXIOMS [propext]
AUDIT_THEOREM KakeyaFormal.BallPruning.survivors_fiber_bound AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.BallPruning.construct_all_scale_pruning AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.BallPruning.coverConstant._proof_2 AXIOMS [propext]
AUDIT_DECLARATION KakeyaFormal.BallPruning.survivors AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.BallPruning.construct_spatial_pruning AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.BallPruning.coverConstant_nonneg AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.BallPruning.coverConstant AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.BallPruning.ball_coarse_cover_count AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.BallPruning.dyadic_all_ball_bound AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.BallPruning.ballCells AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.BallPruning.survivors_subset AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.BallPruning.ball_count_from_fibers AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.BallPruning.dyadic_ball_bound AXIOMS [propext, Classical.choice, Quot.sound]
