AUDIT_THEOREM KakeyaFormal.CollisionPlane.unitize_normal_zero AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionPlane.frame_second_zero AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionPlane.direction_normal_bound AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.CollisionPlane.normalCoordinate AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.CollisionPlane.firstIndices AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionPlane.output_intermediate AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionPlane.collision_cap_count AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionPlane.circleConstant_div_le AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionPlane.collision_shell_count AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionPlane.normalCoordinate.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionPlane.frame_first_zero AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionPlane.colliding_angle_thin AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionPlane.frame.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionPlane.normalCoordinate_norm_le AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.CollisionPlane.frame AXIOMS [propext, Classical.choice, Quot.sound]
