AUDIT_THEOREM KakeyaFormal.CollisionRows.fixed_first_count._simp_1_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionRows.output_subset_count AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionRows.mem_row AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionRows.mem_row._simp_1_4 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionRows.mem_row._simp_1_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionRows.fixedFirstConstant._proof_1 AXIOMS [propext]
AUDIT_DECLARATION KakeyaFormal.CollisionRows.fixedFirstConstant AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionRows.fixed_first_count AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionRows.row.congr_simp AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionRows.row.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionRows.mem_row._simp_1_3 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionRows.fixedFirstConstant_pos AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionRows.row_intermediate AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionRows.row_first_index AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionRows.fixed_first_product_bound AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionRows.row_first_index._simp_1_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.AngleFiberSelection.outputs.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.CollisionRows.row AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.CollisionRows.row_intermediate._simp_1_2 AXIOMS [propext, Classical.choice, Quot.sound]
