AUDIT_THEOREM KakeyaFormal.DilationIntegral.map_volume AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.DilationIntegral.equiv AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.DilationIntegral.equiv._proof_4 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.DilationIntegral.equiv._proof_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.DilationIntegral.aemeasurable_comp AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.DilationIntegral.norm_comp AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.DilationIntegral.set_lintegral_comp AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.DilationIntegral.quasiMeasurePreserving AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.DilationIntegral.lintegral_comp AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.DilationIntegral.equiv._proof_3 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.DilationIntegral.equiv._proof_2 AXIOMS [propext, Classical.choice, Quot.sound]
