AUDIT_THEOREM KakeyaFormal.EuclideanSplit.liftIsometry.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.axisUnit_norm AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.tail_cons AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.liftIsometry._proof_4 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.liftIsometry._proof_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.norm_cons_axis._proof_1_1 AXIOMS [propext, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.tail_norm_le AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.tail_sub AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.liftIsometry_axis AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.head_add AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.head_cons AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.liftIsometry._proof_3 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.liftIsometry._proof_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.norm_sq_split AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.cons_add AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.tail._proof_1 AXIOMS [propext]
AUDIT_DECLARATION KakeyaFormal.EuclideanSplit.alignStem AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.alignStem._proof_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.norm_cons_zero AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.EuclideanSplit.liftIsometry AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.tail_neg AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.tail_smul AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.norm_cons_zero._proof_1_1 AXIOMS [propext, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.cons_zero AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.head_sub AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.head_zero AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.EuclideanSplit.tail AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.liftIsometry._proof_5 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.cons_smul AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.cons_head_tail AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.head_smul AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.EuclideanSplit.axisUnit AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.EuclideanSplit.cons AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.norm_cons_axis AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.EuclideanSplit.head AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.head._proof_1 AXIOMS [propext]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.alignStem_apply AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.axisUnit.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.tail_zero AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.EuclideanSplit.tail_add AXIOMS [propext, Classical.choice, Quot.sound]
