AUDIT_THEOREM KakeyaFormal.FiniteLocalizedFamily.family_union_subset AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.FiniteLocalizedFamily.family_comparable AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.FiniteLocalizedFamily.index_mem AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.FiniteLocalizedFamily.family_ball AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.FiniteLocalizedFamily.family AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.FiniteLocalizedFamily.selected_density_upper._simp_1_1 AXIOMS []
AUDIT_THEOREM KakeyaFormal.FiniteLocalizedFamily.family_two_ends AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.FiniteLocalizedFamily.selected_density_upper AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.FiniteLocalizedFamily.index AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.FiniteLocalizedFamily.family_cap_bound AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.FiniteLocalizedFamily.index_injective AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.FiniteLocalizedFamily.family_admissible AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.FiniteLocalizedFamily.radius_density AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.FiniteLocalizedFamily.selected_count_log AXIOMS [propext, Classical.choice, Quot.sound]
