AUDIT_DECLARATION KakeyaFormal.GaussianConditioning.perpendicular AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianConditioning.perpendicular.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianConditioning.matrix_section_bound AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianConditioning.perpendicular._proof_1 AXIOMS [propext]
AUDIT_THEOREM KakeyaFormal.GaussianConditioning.product_section_bound AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianConditioning.perpendicular_measurable AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.GaussianConditioning.unitDirection AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianConditioning.unitDirection.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianConditioning.unitDirection_norm AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianConditioning.unitDirection_measurable AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianConditioning.matrix_small_ball AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianConditioning.section_bound AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianConditioning.perpendicular_eq AXIOMS [propext, Classical.choice, Quot.sound]
