AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operator_apply AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operatorMap._proof_7 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operatorMap._proof_3 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operatorMap._proof_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operatorMap._proof_11 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operator_norm_le AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.GaussianLinearOperator.operator AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.GaussianLinearOperator.linear AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operator._proof_5 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operatorLinear._proof_4 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operatorLinear._proof_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operatorMap._proof_6 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operator._proof_8 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.GaussianLinearOperator.operatorLinear AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operator._proof_7 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operatorLinear._proof_3 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operatorLinear._proof_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operatorMap._proof_9 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operatorMap._proof_8 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operator._proof_3 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operator._proof_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.linear._proof_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.tensor_norm AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.linear._proof_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operator._proof_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operator._proof_4 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.apply_norm_le AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operator._proof_6 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operatorMap._proof_4 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operatorMap._proof_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operatorMap._proof_5 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operatorMap._proof_10 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GaussianLinearOperator.operator_measurable AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.GaussianLinearOperator.operatorMap AXIOMS [propext, Classical.choice, Quot.sound]
