AUDIT_THEOREM KakeyaFormal.GroupedIncidence.retained_mass_of_high_lt_half AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GroupedIncidence.high_support_bound AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GroupedIncidence.calibrated_pruning AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GroupedIncidence.mass_partition._simp_1_3 AXIOMS [propext]
AUDIT_THEOREM KakeyaFormal.GroupedIncidence.high.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.GroupedIncidence.degree AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GroupedIncidence.high_colored_support_bound AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GroupedIncidence.degree_mono AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GroupedIncidence.high_degree._simp_1_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GroupedIncidence.colored_support_bound AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GroupedIncidence.mass_partition AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GroupedIncidence.high_degree AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GroupedIncidence.retained_energy_bound AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.GroupedIncidence.retained AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GroupedIncidence.degree.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.GroupedIncidence.high AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GroupedIncidence.sum_degree AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GroupedIncidence.retained.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.GroupedIncidence.retained_degree_bound AXIOMS [propext, Classical.choice, Quot.sound]
