AUDIT_THEOREM KakeyaFormal.HairbrushScales.concentrationRadius.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.HairbrushScales.concentrationRadius_pos AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.HairbrushScales.hairbrushLog_pos AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.HairbrushScales.multiplicityDepth_covers AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.HairbrushScales.hairbrushLog_covers_row AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.HairbrushScales.hairbrushLog AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.HairbrushScales.concentrationRadius AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.HairbrushScales.concentrationRadius_factor AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.HairbrushScales.multiplicityDepth_log_bound AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.HairbrushScales.logCoefficient AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.HairbrushScales.logCoefficient_ge_one AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.HairbrushScales.constantDepth_covers AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.HairbrushScales.concentrationRadius_le_one AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.HairbrushScales.multiplicityDepth AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.HairbrushScales.constantDepth._proof_1 AXIOMS [propext]
AUDIT_DECLARATION KakeyaFormal.HairbrushScales.constantDepth AXIOMS [propext, Classical.choice, Quot.sound]
