AUDIT_THEOREM KakeyaFormal.KakeyaOperator.indicatorDensity_le_maximal AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.KakeyaOperator.normAverage AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperator.mem_indicatorLevel_iff AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperator.indicatorLevel_empty AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperator.direction_norm._simp_1_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperator.carrier_finite AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.KakeyaOperator.sphereMeasure AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperator.sphereMeasure._proof_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.KakeyaOperator.maximal AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperator.indicatorDensity_bddAbove AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperator.indicatorDensity_nonneg AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.KakeyaOperator.indicatorLevel AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperator.indicatorDensity_gt_iff AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperator.carrier_real_pos AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.KakeyaOperator.Direction AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperator.sphereMeasure._proof_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.KakeyaOperator.normMaximal AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.KakeyaOperator.average AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.KakeyaOperator.tube AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperator.indicatorMaximal_le_one AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperator.indicatorMaximal_gt_iff AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperator.carrier_pos AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.KakeyaOperator.indicatorDensity AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperator.direction_norm AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperator.indicatorMaximal_nonneg AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperator.intersection_finite AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.KakeyaOperator.indicatorMaximal AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperator.indicatorDensity_le_one AXIOMS [propext, Classical.choice, Quot.sound]
