AUDIT_DECLARATION KakeyaFormal.KakeyaOperatorL1.scaleConstant AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorL1.scaleConstant_finite AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorL1.lowerVolumeConstant_pos AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorL1.coefficient_finite AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorL1.maximal_lintegral_scale_le AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.KakeyaOperatorL1.coefficient AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorL1.maximal_lintegral_le AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorL1.maximal_le_global AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorL1.average_le_global AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorL1.coefficient_scale_le AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorL1.normMaximal_lintegral_le AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorL1.referenceVolume_lower AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorL1.coefficient.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorL1.scaleConstant.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.KakeyaOperatorL1.lowerVolumeConstant AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorL1.lowerVolumeConstant._proof_1 AXIOMS [propext]
