AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.average_finite_mul AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.maximal_sum_le AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.maximal_const AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.average_mono AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.average_zero AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.average_indicator AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.average_const_mul AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.maximal_add_le AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperator.average.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.maximal_ae_congr AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.maximal_indicator AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperator.indicatorDensity.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.maximal_iSup AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.maximal_le_const_ae AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.average_add AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.average_ae_mono AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.maximal_finite_mul AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperator.maximal.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.indicator_level_eq AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.maximal_const_mul AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.average_sum AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.maximal_le_const AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.average_iSup AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.maximal_ae_mono AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.maximal_zero AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.maximal_mono AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperator.indicatorLevel.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.maximal_indicator_le_one AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperatorLaws.average_const AXIOMS [propext, Classical.choice, Quot.sound]
