AUDIT_THEOREM KakeyaFormal.LebesgueDensityPruning.mass_split AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueDensityPruning.badRows_nullMeasurable AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueDensityPruning.source_fractions AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueDensityPruning.pieces_nullMeasurable AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueDensityPruning.goodRows_nullMeasurable AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueDensityPruning.retained_completion AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueDensityPruning.mass_completion AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueDensityPruning.good_nullMeasurable AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueDensityPruning.survivors_completion AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueDensityPruning.good_mass_lower AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueDensityPruning.bad_mass_le_deleted AXIOMS [propext, Classical.choice, Quot.sound]
