AUDIT_THEOREM KakeyaFormal.LebesgueMaximal.eight_diagonal_limit AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueMaximal.six_diagonal_limit AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueMaximal.estimate_iff_borel AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueMaximal.length_eight_endpoint AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueMaximal.of_borel AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueMaximal.length_eight_diagonal_limit AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueMaximal.six_first_step AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueMaximal.length_six_endpoint AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueMaximal.length_estimate_iff_borel AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueMaximal.endpoint_formula AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueMaximal.to_borel AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueMaximal.length_six_first AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueMaximal.length_six_diagonal_limit AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueMaximal.six_first AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueMaximal.Estimate._proof_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueMaximal.six_endpoint AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueMaximal.length_endpoint AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueMaximal.Estimate._proof_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueMaximal.length_endpoint_formula AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.LebesgueMaximal.LengthEstimate AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueMaximal.lengths_to_borel AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueMaximal.lengths_of_borel AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueMaximal.endpoint AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.LebesgueMaximal.Estimate AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LebesgueMaximal.eight_endpoint AXIOMS [propext, Classical.choice, Quot.sound]
