AUDIT_DECLARATION KakeyaFormal.LegalAngleNormalization.intermediates AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalAngleNormalization.endpoints._proof_4 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalAngleNormalization.endpoints._proof_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalAngleNormalization.endpoints._proof_5 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalAngleNormalization.mem_endpointLabels AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.LegalAngleNormalization.endpoints AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalAngleNormalization.angle._proof_3 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalAngleNormalization.angle._proof_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalAngleNormalization.intermediate_lower AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.LegalAngleNormalization.endpointLabels AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalAngleNormalization.angle_transverse AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalAngleNormalization.angle._proof_4 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalAngleNormalization.angle._proof_1 AXIOMS [propext]
AUDIT_THEOREM KakeyaFormal.LegalAngleNormalization.endpoints._proof_6 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalAngleNormalization.angle._proof_5 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.LegalAngleNormalization.angle AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalAngleNormalization.endpoints._proof_3 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalAngleNormalization.endpoints._proof_2 AXIOMS [propext, Classical.choice, Quot.sound]
