AUDIT_THEOREM KakeyaFormal.LegalLabeledSamples.encode_labels AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.LegalLabeledSamples.labeledPair AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalLabeledSamples.labeledPair._proof_3 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalLabeledSamples.labeledPair._proof_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalLabeledSamples.encode.congr_simp AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalLabeledSamples.labeledPair._proof_6 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.LegalLabeledSamples.secondCoord AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalLabeledSamples.encode._proof_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalLabeledSamples.encode_injective AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.LegalLabeledSamples.encode AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalLabeledSamples.firstCoord._proof_1 AXIOMS [propext]
AUDIT_DECLARATION KakeyaFormal.LegalLabeledSamples.pairSet AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalLabeledSamples.encode._proof_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalLabeledSamples.encode_mem AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalLabeledSamples.labeledPair._proof_4 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalLabeledSamples.labeledPair._proof_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalLabeledSamples.labeledPair._proof_5 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.LegalLabeledSamples.firstCoord AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LegalLabeledSamples.intermediate_card_le AXIOMS [propext, Classical.choice, Quot.sound]
