AUDIT_DECLARATION KakeyaFormal.LengthOperatorNorm.normMaximal AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LengthOperatorNorm.normMaximal.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LengthOperatorNorm.Estimate._proof_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LengthOperatorNorm.endpoint_formula AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LengthOperatorNorm.from_unit AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.LengthOperatorNorm.factor AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.LengthOperatorNorm.Estimate AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LengthOperatorNorm.six_endpoint AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LengthOperatorNorm.Estimate._proof_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LengthOperatorNorm.six_first AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LengthOperatorNorm.endpoint_formula._proof_1_1 AXIOMS [propext, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LengthOperatorNorm.normMaximal_measurable AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LengthOperatorNorm.factor_pos AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LengthOperatorNorm.eight_endpoint AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperator.normMaximal.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LengthOperatorNorm.endpoint AXIOMS [propext, Classical.choice, Quot.sound]
