AUDIT_THEOREM KakeyaFormal.LiftSegments.graphPoint_formula AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LiftSegments.normalize_graph_family AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LiftSegments.graph_base_from_incidence AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.LiftSegments.graphTube AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.LiftSegments.graphPoint AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LiftSegments.graphPoint.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LiftSegments.normalize_graph_family._proof_1_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LiftSegments.normalize_graph_family._proof_1_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LiftSegments.graphPoint_distance AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LiftSegments.thick_graph_unit_cover AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LiftSegments.graph_slab_clamp AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LiftSegments.graphTube_base_bound AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.LiftSegments.graph_unit_cover AXIOMS [propext, Classical.choice, Quot.sound]
