'KakeyaFormal.MarkedDensityClass.select' depends on axioms: [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MarkedDensityClass.marks.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.MarkedDensityClass.family AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MarkedDensityClass.family.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MarkedDensityClass.retained.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.MarkedDensityClass.marks AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MarkedDensityClass.recover_half AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MarkedDensityClass.reindexed_sum AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MarkedDensityClass.retained_broad._simp_1_3 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MarkedDensityClass.selected_row_image AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MarkedDensityClass.select AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MarkedDensityClass.marked_mass_eq._simp_1_2 AXIOMS [propext]
AUDIT_DECLARATION KakeyaFormal.MarkedDensityClass.keptCells AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MarkedDensityClass.selected_broad AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.MarkedDensityClass.index AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MarkedDensityClass.marked_mass_eq AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MarkedDensityClass.retained_broad._simp_1_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.MarkedDensityClass.retained AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MarkedDensityClass.retained_broad AXIOMS [propext, Classical.choice, Quot.sound]
