AUDIT_THEOREM KakeyaFormal.MaximalLengths.six_endpoint AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MaximalLengths.Estimate._proof_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MaximalLengths.six_first AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MaximalLengths.endpoint_formula._proof_1_1 AXIOMS [propext, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MaximalLengths.densityFactor_bounds AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.MaximalLengths.upperScale AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.MaximalLengths.lowerScale AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MaximalLengths.eight_endpoint AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.MaximalLengths.family AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MaximalLengths.of_unit AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MaximalLengths.endpoint AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MaximalLengths.eight_diagonal_limit AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MaximalLengths.six_diagonal_limit AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.MaximalLengths.densityFactor AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MaximalLengths.Estimate._proof_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MaximalLengths.scale_bounds AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MaximalLengths.endpoint_formula AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MaximalLengths.endpoint._proof_1_1 AXIOMS [propext, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MaximalLengths.from_estimate AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.MaximalLengths.Estimate AXIOMS [propext, Classical.choice, Quot.sound]
