AUDIT_THEOREM KakeyaFormal.OperatorScaleAlgebra.theta_bounds AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.OperatorScaleAlgebra.chosenR._proof_1 AXIOMS [propext]
AUDIT_THEOREM KakeyaFormal.OperatorScaleAlgebra.loss_identity AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.OperatorScaleAlgebra.chosen_loss_bounds AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.OperatorScaleAlgebra.theta AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.OperatorScaleAlgebra.reciprocal_identity AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.OperatorScaleAlgebra.choices_positive AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.OperatorScaleAlgebra.loss AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.OperatorScaleAlgebra.chosen_scale_le AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.OperatorScaleAlgebra.chosenR AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.OperatorScaleAlgebra.chosenError AXIOMS [propext, Classical.choice, Quot.sound]
