AUDIT_DECLARATION KakeyaFormal.ProjectedGrid.labelMap AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectedGrid.image_card_lower AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectedGrid.fiberRadius._proof_1 AXIOMS [propext]
AUDIT_THEOREM KakeyaFormal.ProjectedGrid.same_label_distance AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectedGrid.fiber_center_distance._abel_1_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectedGrid.fiber_center_distance AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectedGrid.fiberConstant_pos AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.ProjectedGrid.fiberRadius AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectedGrid.rounding_distance AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectedGrid.fiber_card AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.ProjectedGrid.fiberConstant AXIOMS [propext, Classical.choice, Quot.sound]
