AUDIT_THEOREM KakeyaFormal.ProjectiveSphereNet.Net.center_mem AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.ProjectiveSphereNet.Net.points AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.ProjectiveSphereNet.Net.noConfusionType AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectiveSphereNet.Net.covers AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.ProjectiveSphereNet.Net.ctorIdx AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.ProjectiveSphereNet.Net._sizeOf_inst AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectiveSphereNet.Net.separated AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectiveSphereNet.Net.center_injective AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.ProjectiveSphereNet.Net.mk._flat_ctor AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectiveSphereNet.Net.unit AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.ProjectiveSphereNet.Net.casesOn AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectiveSphereNet.Net.center.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.ProjectiveSphereNet.Net.mk.noConfusion AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectiveSphereNet.Net.center_double_cap AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectiveSphereNet.exists_net AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectiveSphereNet.Net.double_cap_containment AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectiveSphereNet.Net.center_unit AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.ProjectiveSphereNet.Net.recOn AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.ProjectiveSphereNet.Net.noConfusion AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.ProjectiveSphereNet.Net.center AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectiveSphereNet.Net.mk.injEq AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectiveSphereNet.Net.mk.sizeOf_spec AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectiveSphereNet.Net.center_covers AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.ProjectiveSphereNet.Net._sizeOf_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectiveSphereNet.exists_indexed_net AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.ProjectiveSphereNet.Net AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectiveSphereNet.sphere_packing AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectiveSphereNet.Net.cap_containment AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectiveSphereNet.Net.mk.inj AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.ProjectiveSphereNet.Net.rec AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectiveSphereNet.Net.card_bound AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectiveSphereNet.exists_net._proof_1_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.ProjectiveSphereNet.Net.mk AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.ProjectiveSphereNet.Net.center_separated AXIOMS [propext, Classical.choice, Quot.sound]
