'KakeyaFormal.PrunedGraphLift.pruned_all_ball_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'KakeyaFormal.PrunedGraphLift.pruned_graph_cap_and_colors' depends on axioms: [propext, Classical.choice, Quot.sound]
'KakeyaFormal.PrunedGraphLift.discrete_pruned_graph_lift' depends on axioms: [propext, Classical.choice, Quot.sound]
'KakeyaFormal.PrunedGraphLift.color_family_geometry' depends on axioms: [propext, Classical.choice, Quot.sound]
'KakeyaFormal.PrunedGraphLift.color_family_incidence' depends on axioms: [propext, Classical.choice, Quot.sound]
'KakeyaFormal.PrunedGraphLift.lifted_cap_coefficient_ge_one' depends on axioms: [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.PrunedGraphLift.pruned_total_count AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.PrunedGraphLift.colorIndex AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.PrunedGraphLift.pruned_graph_cap_and_colors AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.PrunedGraphLift.union_bounded AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.PrunedGraphLift.color_family_incidence AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.PrunedGraphLift.pruned_all_ball_bound AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.PrunedGraphLift.regionRadius_pos AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.PrunedGraphLift.color_partition_card AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.PrunedGraphLift.color_count_bound AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.PrunedGraphLift.colorFamily AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.PrunedGraphLift.spatialConstant._proof_1 AXIOMS [propext]
AUDIT_THEOREM KakeyaFormal.PrunedGraphLift.color_family_geometry AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.PrunedGraphLift.spatialConstant_nonneg AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.PrunedGraphLift.spatialConstant AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.PrunedGraphLift.lifted_cap_coefficient_ge_one AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.PrunedGraphLift.regionRadius AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.PrunedGraphLift.discrete_pruned_graph_lift AXIOMS [propext, Classical.choice, Quot.sound]
