AUDIT_THEOREM KakeyaFormal.SamplingBoundedSupport.positive_mem_candidates AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingBoundedSupport.full_mean_eq AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SamplingBoundedSupport.support AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingBoundedSupport.support_bounded AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingBoundedSupport.marked_mean_eq AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingBoundedSupport.candidates._proof_1 AXIOMS [propext]
AUDIT_THEOREM KakeyaFormal.SamplingBoundedSupport.candidates_cover AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingBoundedSupport.ball_mean_two_ends AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingBoundedSupport.support._proof_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingBoundedSupport.support._proof_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingBoundedSupport.support_mass AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingBoundedSupport.mem_support AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SamplingBoundedSupport.candidates AXIOMS [propext, Classical.choice, Quot.sound]
