AUDIT_THEOREM KakeyaFormal.SamplingCapTests.sampled_broadness AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SamplingCapTests.cap AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingCapTests.row_card AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingCapTests.row.congr_simp AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SamplingCapTests.row AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingCapTests.cap_containment AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingCapTests.row_cap_card._simp_1_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingCapTests.cap.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingCapTests.row_cap_card AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingCapTests.all_caps AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingCapTests.cap._proof_1 AXIOMS [propext]
AUDIT_THEOREM KakeyaFormal.SamplingCapTests.row.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingCapTests.row_cap_card._simp_1_3 AXIOMS [propext, Classical.choice, Quot.sound]
