AUDIT_THEOREM KakeyaFormal.SamplingRealization.unlabel.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingRealization.labelEmbedding._proof_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingRealization.unlabel_card AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingRealization.counts AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingRealization.mem_unlabel AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SamplingRealization.unlabel AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingRealization.two_ends AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingRealization.broadness AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingRealization.mem_unlabel._simp_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingRealization.broadness._simp_1_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SamplingRealization.marks AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SamplingRealization.full AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingBallTests.mask.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingRealization.unlabel_subset AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingRealization.admissible AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SamplingRealization.labelEmbedding AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingRealization.full.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingRealization.broadness._simp_1_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingRealization.marks.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingRealization.support_and_marks AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingRealization.test_count AXIOMS [propext, Classical.choice, Quot.sound]
