'KakeyaFormal.SamplingSupport.mem_support' depends on axioms: [propext, Classical.choice, Quot.sound]
'KakeyaFormal.SamplingSupport.support_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'KakeyaFormal.SamplingSupport.coupled_weights' depends on axioms: [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingSupport.coupled_weights AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SamplingSupport.weight AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingSupport.mem_positiveFamily AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingSupport.positive_mem_candidates AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingSupport.positiveFamily._proof_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingSupport.weight_mono AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SamplingSupport.support AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingSupport.mem_support._simp_1_3 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingSupport.support_card AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingSupport.weight_le_one AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingSupport.support.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingSupport.support_bounded AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingSupport.candidates._proof_1 AXIOMS [propext]
AUDIT_THEOREM KakeyaFormal.SamplingSupport.positive_intersection_nonempty._simp_1_1 AXIOMS [propext]
AUDIT_THEOREM KakeyaFormal.SamplingSupport.positive_admissible AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingSupport.shading_point_bound AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingSupport.mem_support AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingSupport.mem_support._simp_1_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SamplingSupport.positiveFamily AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingSupport.positiveFamily._proof_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SamplingSupport.candidates AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingSupport.weight_nonneg AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SamplingSupport.positive_intersection_nonempty AXIOMS [propext, Classical.choice, Quot.sound]
