AUDIT_THEOREM KakeyaScalar.slopeLimit_bounds AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.pivotSet._proof_1 AXIOMS [propext]
AUDIT_THEOREM KakeyaScalar.pivotSet.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.weakened_bush_diagonal_domain AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.bush_diagonal_domain AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.density_envelope_bound AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.benchmark_fifteen AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaScalar.diagonal._unsafe_rec AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.benchmark_twelve AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.benchmarkCandidate.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.benchmark_eleven AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.profile_composition AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.benchmark_comparison_signs AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.diagonal_eight_table AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.diagonal.eq_def AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaScalar.slopeLimit AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaScalar.slope._unsafe_rec AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaScalar.diagonal AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM _private.Scalar_AxiomAudit.0.KakeyaScalar.slope.match_1.eq_1 AXIOMS []
AUDIT_THEOREM KakeyaScalar.envelope_below_limit AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.profile_pivot AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaScalar.benchmarkCorrect AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.slope_error_bound AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.conditional_real_cap_iteration AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.diagonal_closed_form AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.benchmark_five AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaScalar.benchmarkCandidate AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM _private.Scalar_AxiomAudit.0.KakeyaScalar.slope.match_1.eq_2 AXIOMS []
AUDIT_THEOREM KakeyaScalar.slope_bounds AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaScalar.pivotSet AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaScalar.diagonalLimit AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.pivotSet._proof_3 AXIOMS [propext]
AUDIT_DECLARATION KakeyaScalar.slope.match_1 AXIOMS []
AUDIT_THEOREM KakeyaScalar.pivotSet._proof_2 AXIOMS [propext]
AUDIT_THEOREM KakeyaScalar.diagonal.eq_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.profile_seed AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.diagonal_six_table AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.diagonalLimit.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.wolff_substitution AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.dimension_five_envelope_is_four AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.slope_error_identity AXIOMS [propext, Classical.choice, Quot.sound]
