AUDIT_THEOREM KakeyaFormal.SeedCoverNormalization.family_union_card AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SeedCoverNormalization.family_comparable AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SeedCoverNormalization.coverFactor_pos AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SeedCoverNormalization.coverFactor AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SeedCoverNormalization.family AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SeedCoverNormalization.normalized_scale AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SeedCoverNormalization.original_base_cover AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SeedCoverNormalization.coverFactor_ge_one AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SeedCoverNormalization.family_cap_bound AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SeedCoverNormalization.family_cover AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SeedCoverNormalization.family_admissible AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SeedCoverNormalization.normalized_density AXIOMS [propext, Classical.choice, Quot.sound]
