AUDIT_DECLARATION KakeyaFormal.SelectedColoredFamilies.locate AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SelectedColoredFamilies.shade_mass AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SelectedColoredFamilies.color AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SelectedColoredFamilies.base_cap_count AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SelectedColoredFamilies.ColoredGroup AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SelectedColoredFamilies.incidence_mass AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SelectedColoredFamilies.direction AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SelectedColoredFamilies.locate_base AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SelectedColoredFamilies.original_locate AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SelectedColoredFamilies.coloredPopulation AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SelectedColoredFamilies.bounded AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SelectedColoredFamilies.shading_original AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SelectedColoredFamilies.population_total AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SelectedColoredFamilies.admissible AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SelectedColoredFamilies.original_exists AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SelectedColoredFamilies.shading AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SelectedColoredFamilies.locate_original AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SelectedColoredFamilies.colored_geometry AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SelectedColoredFamilies.incidences AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SelectedColoredFamilies.tube_original AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SelectedColoredFamilies.incidence_nonempty AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SelectedColoredFamilies.color._proof_1 AXIOMS [propext]
AUDIT_DECLARATION KakeyaFormal.SelectedColoredFamilies.coloredFamily AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SelectedColoredFamilies.shade_subset AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SelectedColoredFamilies.tube AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SelectedColoredFamilies.shade_nonempty AXIOMS [propext, Classical.choice, Quot.sound]
