'KakeyaFormal.SlabNormalization.shift_grid' depends on axioms: [propext, Classical.choice, Quot.sound]
'KakeyaFormal.SlabNormalization.shift_graph' depends on axioms: [propext, Classical.choice, Quot.sound]
'KakeyaFormal.SlabNormalization.shifted_graph_incidence' depends on axioms: [propext, Classical.choice, Quot.sound]
'KakeyaFormal.SlabNormalization.shifted_union_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'KakeyaFormal.SlabNormalization.normalize_common_slab' depends on axioms: [propext, Classical.choice, Quot.sound]
'KakeyaFormal.SlabNormalization.reference_pivot_residual' depends on axioms: [propext, Classical.choice, Quot.sound]
'KakeyaFormal.SlabNormalization.normalize_selected_group' depends on axioms: [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SlabNormalization.shiftPoint AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SlabNormalization.shiftHeight AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SlabNormalization.lifted_horizontal_bound AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SlabNormalization.shiftPoint_tail AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SlabNormalization.reference_slope_bound AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SlabNormalization.shift_graph AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SlabNormalization.shifted_union AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SlabNormalization.shift_grid AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SlabNormalization.shiftIndex AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SlabNormalization.shift_distance AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SlabNormalization.normalize_selected_group AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SlabNormalization.shifted_union_card AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SlabNormalization.intercept_from_horizontal AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SlabNormalization.normalize_common_slab AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SlabNormalization.shift_height_bounds AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SlabNormalization.shifted_center_slab AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SlabNormalization.shiftCell_injective AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SlabNormalization.shiftCell AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SlabNormalization.shifted_card AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SlabNormalization.shifted_graph_incidence AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SlabNormalization.shiftPoint.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.Rescaling.shiftLabel.eq_1 AXIOMS []
AUDIT_THEOREM KakeyaFormal.SlabNormalization.shiftCell_tail AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SlabNormalization.shiftCell.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SlabNormalization.reference_pivot_residual AXIOMS [propext, Classical.choice, Quot.sound]
