AUDIT_THEOREM KakeyaFormal.SourceGoodMass.goodRows_measurable AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SourceGoodMass.badRows AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SourceGoodMass.mass AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SourceGoodMass.goodRows AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SourceGoodMass.good_measurable AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SourceGoodMass.multiplicity_mono AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SourceGoodMass.mass_split AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SourceGoodMass.bad_pointwise AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SourceGoodMass.badRows.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SourceGoodMass.badRows_measurable AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SourceGoodMass.good._proof_1 AXIOMS [propext]
AUDIT_THEOREM KakeyaFormal.SourceGoodMass.good_mass_lower AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SourceGoodMass.bad_mass_le_deleted AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SourceGoodMass.good AXIOMS [propext, Classical.choice, Quot.sound]
