AUDIT_THEOREM KakeyaFormal.SpatialMarkedGroups.group_mass AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedGroups.population_pos AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedGroups.retained_population AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SpatialMarkedGroups.good AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedGroups.good._proof_1 AXIOMS [propext]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedGroups.retained_mass AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedGroups.markedMass.congr_simp AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SpatialMarkedGroups.markedMass AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedGroups.construct AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedGroups.group_fraction AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedGroups.marked_mass_upper AXIOMS [propext, Classical.choice, Quot.sound]
