AUDIT_THEOREM KakeyaFormal.SpatialMarkedPartition.marks_subset_full AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedPartition.full_union_eq AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedPartition.indices.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SpatialMarkedPartition.labels AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedPartition.full_union_volume AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedPartition.population_partition AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedPartition.Marks._proof_1 AXIOMS [propext]
AUDIT_DECLARATION KakeyaFormal.SpatialMarkedPartition.indices AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedPartition.sum_reindex AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedPartition.marked_broad AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialSplitting.fiber.eq_1 AXIOMS [propext, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedPartition.marked_multiplicity AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedPartition.full_multiplicity._simp_1_3 AXIOMS [propext]
AUDIT_THEOREM KakeyaFormal.SpatialSplitting.restore.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedPartition.indices.congr_simp AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedPartition.marks_measurable AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedPartition.full_overlap AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SpatialMarkedPartition.family AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedPartition.full_exact AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SpatialMarkedPartition.Marks AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.SpatialMarkedPartition.Full AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedPartition.full_union_subset AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.MeasurableMarkedSelection.index.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedPartition.marked_pointwise AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedPartition.index_label AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedPartition.marked_mass AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedPartition.Full.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedPartition.full_mass_partition AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedPartition.Marks.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.SpatialMarkedPartition.full_multiplicity AXIOMS [propext, Classical.choice, Quot.sound]
