'KakeyaFormal.TransformedGridSupport.piece_support' depends on axioms: [propext, Classical.choice, Quot.sound]
'KakeyaFormal.TransformedGridSupport.positive_support_card' depends on axioms: [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransformedGridSupport.positive_support_card AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransformedGridSupport.cellBox_card AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.TransformedGridSupport.cellBox AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransformedGridSupport.pieceMap_distance AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransformedGridSupport.touching_mem_cellBox AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransformedGridSupport.mem_touched AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransformedGridSupport.piece_support AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.TransformedGridSupport.pieceMap AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransformedGridSupport.cellBox.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransformedGridSupport.touching_center_bound AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.TransformedGridSupport.touched AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransformedGridSupport.image_covered AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.TransformedGridSupport.cover AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransformedGridSupport.positive_support_subset AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransformedGridSupport.touched_card AXIOMS [propext, Classical.choice, Quot.sound]
