AUDIT_THEOREM KakeyaFormal.TransverseAngles.transverse_lower AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransverseAngles.mem_angles._simp_1_5 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.TransverseAngles.pairs AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransverseAngles.mem_angles._simp_1_4 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransverseAngles.mem_angles._simp_1_7 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransverseAngles.angle_geometry AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransverseAngles.mem_angles._simp_1_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransverseAngles.angles.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransverseAngles.angle_energy_lower._simp_1_3 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransverseAngles.angle_energy_lower._simp_1_1 AXIOMS [propext]
AUDIT_DECLARATION KakeyaFormal.TransverseAngles.incident AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransverseAngles.pairs_lower AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.TransverseAngles.angles AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransverseAngles.pairs.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransverseAngles.pairs_card AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransverseAngles.angle_count_lower AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransverseAngles.mem_angles AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransverseAngles.incident.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TransverseAngles.angles._proof_1 AXIOMS [propext]
AUDIT_THEOREM KakeyaFormal.TransverseAngles.angle_energy_lower AXIOMS [propext, Classical.choice, Quot.sound]
