AUDIT_THEOREM KakeyaFormal.TubeIsometryVolume.carrier_real_volume_eq AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.UnitTube.carrier.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TubeIsometryVolume.normalize_axis AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TubeIsometryVolume.operator_carrier_volume AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TubeIsometryVolume.normalize_measurePreserving AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.KakeyaOperator.average.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TubeIsometryVolume.referenceVolume._proof_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.TubeIsometryVolume.referenceTube AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TubeIsometryVolume.referenceVolume_finite AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TubeIsometryVolume.normalize_dist._abel_1_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TubeIsometryVolume.referenceTube.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.TubeIsometryVolume.referenceVolume AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TubeIsometryVolume.normalize_dist AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.UnitTube.mk.congr_simp AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TubeIsometryVolume.carrier_volume_eq AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TubeIsometryVolume.referenceVolume_pos AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.TubeIsometryVolume.normalize AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TubeIsometryVolume.referenceVolume._proof_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TubeIsometryVolume.average_fixed_denominator AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TubeIsometryVolume.carrier_eq_preimage AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TubeIsometryVolume.carrier_eq_preimage._simp_1_2 AXIOMS [propext]
AUDIT_THEOREM KakeyaFormal.UnitTube.axisPoint.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TubeIsometryVolume.carrier_volume_reference AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.TubeIsometryVolume.normalize.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
