AUDIT_THEOREM KakeyaFormal.WidthNormalization.normalized_carrier AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.WidthNormalization.grid_carrier AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.WidthNormalization.widthFactor AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.WidthNormalization.grid_union_mass AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.WidthNormalization.normalized_two_ends AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.WidthNormalization.normalized_volume AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.WidthNormalization.normalized_direction AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.WidthNormalization.normalized_union_volume AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.WidthNormalization.widthFactor_pos AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.WidthNormalization.normalizedSet AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.WidthNormalization.normalizedSet.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.WidthNormalization.widthFactor_ge_one AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.WidthNormalization.normalized_membership AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.WidthNormalization.widthFactor._proof_1 AXIOMS [propext]
AUDIT_THEOREM KakeyaFormal.WidthNormalization.normalized_finite AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.WidthNormalization.grid_mass AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaFormal.WidthNormalization.normalizedTube AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.WidthNormalization.normalized_measurable AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaFormal.WidthNormalization.grid_membership AXIOMS [propext, Classical.choice, Quot.sound]
